visa_cd,name,description
USA_F1,Копия заграничного паспорта,"1 и 2 страница. Действительный заграничный паспорт, срок действия которого не менее чем на шесть месяцев превышает продолжительность предполагаемого периода пребывания в США"
USA_F1,Копия гражданского паспорта,первые две страницы + страница с пропиской
USA_F1,Фотография,"5 х 5 цветная на белом фоне, 80% лица"
USA_F1,"Справка с места работы с указанием должности и оклада(если заявитель на визу работает) или 
справка с места учебы (если заявитель на визу учится)*","<ul>
<li>для студентов (копия студенческого билета);</li>
<li> для безработных  (спонсорское письмо от родтсвенника оплачивающего поездку);</li> 
</ul>"
USA_F1,Копия I-20,"Форма, утвержденная образовательным учреждением или администратором соответствующей программы в США (Можете обратится за помощью к нам если потребуется)"
USA_F1,Копия SevisFee,"Копия квитанции об оплате сервисного сбора SEVIS Fee - $200 (Можете самостоятельно, а можете обратится за помощью к нам если потребуется) "
USA_F1,Выписка из банковского счёта*,"Выписка должна показывать наличие финансовых средств, которых, по Вашему мнению, достаточно для покрытия всех расходов первого года обучения и иных расходов, связанных с пребыванием в США
(на имя студента либо на имя спонсора поездки)"
USA_F1,Копия документов о наличии движимого и недвижимого имущества*,"<ul>
<li>Документы о приватизации квартиры, о владении домом, земельным участком, гаражом.</li>
<li>Документы о владении автомобилем - тех. паспорт или доверенность.</li>
</ul>
(на имя студента либо на имя спонсора поездки)"
USA_F1,Сведения о семье,"Копии свидетельства о браке, о рождении детей (если таковые имеются)"
USA_F1,Документы об образовании," документы подтверждающие уровень учебной подготовки. Рекомендуется предоставить оригинал школьного аттестата с оценками, свидетельства о прохождении государственных экзаменов (ЕГЭ, A-levels и проч.), сертификаты о прохождении стандартизованных тестов (SAT, TOEFL и проч.), а также дипломы."
USA_F1,Примечание*,"Если студент оплачивает поездку не самостоятельно, то потребуются копии документов указанных выше от спонсора поездки, спонсором может выступать один из родственников, в этом случае необходимо доказать родство заявителя на визу со спонсором, для этого может понадобится любой документ подтверждающий родство."
USA_F1,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету ds-160 на английском языке и отправили её в посольство США"
USA_M1,Копия заграничного паспорта,1 и 2 страница. Паспорт должен быть со сроком действия не менее 6 месяцев с даты предполагаемого въезда в США + Копии предыдущих загран паспортов(если таковые имеются)
USA_M1,Копия гражданского паспорта,первые две страницы + страница с пропиской
USA_M1,Фотография,"5 х 5 цветная на белом фоне, 80% лица"
USA_M1,"Справка с места работы с указанием должности и оклада(если заявитель на визу работает)
Справка с места учебы (если заявитель на визу учится)*","<ul>
<li>для студентов (копия студенческого билета);</li>
<li> для безработных  (спонсорское письмо от родтсвенника оплачивающего поездку);</li> 
</ul>
Если заявитель оплачивает поездку не сам, то потребуются копии документов спонсоров поездки"
USA_M1,Копия I-20,"Форма, которая запрашивается в принимающем учебном заведении"
USA_M1,Копия SevisFee,Копия квитанции об оплате сервисного сбора SEVIS Fee ($200) (Можете обратится за помощью к нам если потребуется)
USA_M1,Выписка из банковского счёта*,"Выписка должна быть из расчёта полного покрытия всех расходов и стоимости обучения человека
(на имя студента либо на имя спонсора поездки)"
USA_M1,Копия документов о наличии движимого и недвижимого имущества*,"<ul>
<li>Документы о приватизации квартиры, о владении домом, земельным участком, гаражом.</li>
<li>Документы о владении автомобилем - тех. паспорт или доверенность.</li>
</ul>
(на имя студента либо на имя спонсора поездки)"
USA_M1,Сведения о семье,"Копии свидетельства о браке, о рождении детей (если таковые имеются)"
USA_M1,Документы об образовании," Документы подтверждающие уровень учебной подготовки. Рекомендуется предоставить оригинал школьного аттестата с оценками, свидетельства о прохождении государственных экзаменов (ЕГЭ, A-levels и проч.), сертификаты о прохождении стандартизованных тестов (SAT, TOEFL и проч.), а также дипломы."
USA_M1,Примечание*,"Если студент оплачивает поездку не самостоятельно, то потребуются копии документов указанных выше(*) от спонсора поездки, спонсором может выступать один из родственников, в этом случае необходимо доказать родство заявителя на визу со спонсором, для этого может понадобится любой документ подтверждающий родство."
USA_M1,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету ds-160 на английском языке и отправили её в посольство США"
USA_B1B2,Копия заграничного паспорта,"1 и 2 страница. Действительный заграничный паспорт, срок действия которого не менее чем на шесть месяцев превышает продолжительность предполагаемого периода пребывания в США"
USA_B1B2,Копия гражданского паспорта,Первые две страницы + страница с пропиской
USA_B1B2,Фотография,"5 х 5 цветная на белом фоне, 80% лица"
USA_B1B2,Справка с места работы и/или учебы*,"<ul>
<li>Студенты
документы об образовании: аттестаты, дипломы, приложения к дипломам. Также возьмите с собой документы, подтверждающие, что Вы в настоящее время учитесь в высшем учебном заведении, и документы, подтверждающие Ваши финансовые возможности, например помесячные выписки с банковских счетов и приходные кассовые ордера (или иные документы) о взносах на вклад и т. п.<li>
<li>Совершеннолетние работающие
 справка с места работы и расчетные листки по заработной плате за последние три месяца.<li>
<li>Предприниматели и руководители организаций
 документы, подтверждающие Вашу должность в компании и размер заработной платы.<li>
</ul>
Если заявитель на визу не имеет источник дохода, то необходимы документы от спонсора заявителя на визу.
"
USA_B1B2,Выписка из банковского счёта *,"Выписка должна быть сделана из расчёта полного покрытия всех расходов,
 связанных с пребыванием на территории США одного человека или всей группы."
USA_B1B2,"Копия документов
 о наличии движимого и недвижимого имущества*","<ul>
<li>Документы о приватизации квартиры, о владении домом, земельным участком, гаражом.</li>
<li>Документы о владении автомобилем - тех. паспорт или доверенность.</li>
</ul>
(на имя студента либо на имя спонсора поездки)"
USA_B1B2,Сведения о семье ,"Сведения о семье - копии свидетельства о браке, о рождении детей 
(Если таковые имеются)"
USA_B1B2,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету ds-160 на английском языке и отправили её в посольство США"
USA_B1B2,Дополнительно,"Если вы посещаете родственников:
Возьмите с собой копию документа, подтверждающего статус родственника, например копию гринкарты (вид на жительство в США), свидетельства о натурализации, действующей визы и проч. Возьмите также письмо (копию, факс письма) от друзей или родственников в США с указанием Ваших отношений (степени родства) и сведений о предполагаемой поездке. Копия письма не требует нотариального заверения.ица, ранее въезжавшие в США
Если Вы когда-нибудь были в США, возьмите с собой документы, подтверждающие Ваш текущий иммиграционный или визовый статус."
