visa_type_cd,subtype,code
STD,для академического обучения,STD_ACDM
STD,для не академического обучения,STD_NON_ACDM
GUEST,для туристических поездок,TRSM
GUEST,для деловых поездок,BSNS
GUEST,для медицинских целей,MED
EXCHANGE,для программ обмена,EXCH
TRANSIT,Транзитные визы ,TRNST
CREW,Члены экипажей,CRW
MEDIA,Визы для журналистов и работников СМИ,MDA
WORK,Высококвалифицированные специалисты,WRK1
WORK,Сезонные сельскохозяйственные работники,WRK2
WORK,Квалифицированные и неквалифицированные работники,WRK3
WORK,Стажеры,WRK4
WORK,Переводы внутри компании(Виза для предпринемателей),WRK5
WORK,Виза для лиц с неординарными способностями,WRK6
WORK,"деятели культуры, артисты",WRK7
WORK, Виза для участия в программе международного и культурного обмена,WRK8
WORK,Визы для поездок связанных с религиозной деятельностью,WRK9
