visa_cd,country_cd,visa_name,brief_description,description
USA_F1,USA, Виза F1 Студенческая,Обучение более 18 часов в неделю,"Это наиболее распространенный тип студенческих виз. 
Виза F-1 выдается лицам, желающим пройти академическое обучение в определенных образовательных учреждениях США, например в аккредитованных колледжах и университетах, частных средних школах, или же заняться изучением английского языка в рамках соответствующих программ. Виза F-1 выдается также в тех случаях, когда обучение занимает более 18 часов в неделю."
USA_M1,USA, Виза M1 Обучение по специальности,Неакадемическое или профессиональное обучение в США,"Виза М1 предназначена для студентов, направляющихся в США для неакадемического или профессионального обучения.
 <p>Проконсультируйтесь с Вашим учебным заведением относительно того, какой тип визы требуется в Вашем случае. Если Вы направляетесь в США как турист, но также планируете пройти обучение по сокращенной программе (менее 18 часов в неделю), Вы можете ехать по туристической визе В2.<p/>"
USA_B1B2_1,USA,Виза B1/B2 Гостевая,Гостевые поездки к родственникам и друзьям,"Данный тип визы подходит вам если вы планируете посетить своих родственников или друзей в США. Дополнительной гарантией того, что вы едите в гости будет приглашение. В приглашении должны быть адрес, ФИО и телефон приглашающей стороны.
<p>Как правило процедура оформления гостевой визы в США занимает 2-5 рабочих дней. </p>"
USA_B1B2_2,USA,Виза B1/B2 Туристическая,Поездки с целью туризма,"Туристическая виза в США предназначена для путешествий в США. 
Данный тип визы подходит для тех кто хочет отдохнуть, посетить достопримечательности или путешествовать на машине. По данному типу визы вы можете находиться на территории США не более 180 дней в году."
USA_B1B2_3,USA,Виза B1/B2 Деловые поездки,"Деловые поездки связанные 
с вашей работой(встреча с партнерами, конференция) ","Бизнес виза в США необходима тем резидентам у которых есть какие либо деловые отношения с компаниями или партнерами в США. По данному типу визы вы можете находиться не более 180 дней в году и посещать выставки, конференции, проводить переговоры с деловыми партнерами, заключать контракты.
 Этой группой виз обычно пользуются ученые, руководители, корреспонденты, консультанты, представители фирм.Лица, получившие данную визу, не могут выполнять работу, которая может быть выполнена кем-либо на рынке рабочей силы в США, для работы в США существуют рабочие визы."
USA_B1B2_4,USA,Виза B1/B2 изучение языка,"Обучение в языковой школе
 до18 часов в неделю до 6 месяцев в году","Данный тип визы идеально подходит для всех желающих совместить процесс учебы в языковой школе с отдыхом в США. 
Для данного типа визы существуют ограничения: вы не можете обучаться более 18 часов в неделю, а также не можете находиться на территории США больше 180 дней в году. Если Вы хотите пройти полноценное академическое обучение вам необходима студенческая виза в США."
USA_B1B2_5,USA,Виза B1/B2 медицинская помощь/роды,"Получение медицинской помощи
 или осуществление родов на территории США","Если цель вашей поездки в США - получение медецинской помощи или вы планируете осуществлять роды на территории США, 
то вам необходим этот тип визы."
USA_C1,USA,Виза C1 Транзит через США,Для транзита по территроии США,"Транзитная виза (C) необходима лицам, направляющимся в другие иностранные государства через территорию США и у которых нет действующей B1/2 визы. 
Если пассажир намерен использовать пересадку для иных целей, кроме транзитного перемещения, например для посещения друзей или осмотра достопримечательностей, ему необходимо получить визу соответствующей категории, например B-2.
"
USA_D1,USA,Виза D Члены экипажа,Для членов экипажей морских и воздушных судов,"Виза для членов экипажа (D) необходима членам экипажа, обслуживающего морское или воздушное судно на территории США. 
Члены экипажей воздушных и морских судов, пересекающих транзитом воздушное пространство или территориальные воды Соединенных Штатов, обычно получают комбинированную визу C-1/D (транзитные пассажиры/члены экипажей)."
USA_I1,USA,Виза I1  Работники СМИ,Для работников СМИ,"Визы для работников СМИ (I) — это неиммиграционные визы, предназначенные для временных поездок в США сотрудников иностранных средств массовой информации для осуществления профессиональной деятельности, если такие сотрудники постоянно работают за пределами США. 
В соответствии с иммиграционным законодательством, Соединенные Штаты применяют ряд процедур и взимают сборы, которые аналогичны политике выдаче виз в государстве заявителя (принцип взаимности). Процедуры предоставления виз сотрудникам иностранных средств массовой информации зависят от привилегий и ограничений, применяемых соответствующим государством в отношении сотрудников американских средств массовой информации."
